tn_seq_exit.msid,tn_seq_exit.lon,tn_seq_exit.lat
6A80D92C6E26B3A33A91842C3AA4B668,30.2224,120.392
6A80D92C6E26B3A33A91842C3AA4B668,30.2255,120.405
6A80D92C6E26B3A33A91842C3AA4B668,30.2224,120.392
6A80D92C6E26B3A33A91842C3AA4B668,30.213787,120.350996
6A80D92C6E26B3A33A91842C3AA4B668,30.216905,120.331208
6A80D92C6E26B3A33A91842C3AA4B668,30.219072,120.316112
6A80D92C6E26B3A33A91842C3AA4B668,30.220601,120.306224
6A80D92C6E26B3A33A91842C3AA4B668,30.225785,120.272166
6A80D92C6E26B3A33A91842C3AA4B668,30.218465,120.26597
6A80D92C6E26B3A33A91842C3AA4B668,30.2117,120.2635
6A80D92C6E26B3A33A91842C3AA4B668,30.19736,120.25979
6A80D92C6E26B3A33A91842C3AA4B668,30.187977,120.265591
6A80D92C6E26B3A33A91842C3AA4B668,30.16659,120.26275
