tn_seq_exit.msid,tn_seq_exit.lon,tn_seq_exit.lat
6A80D92C6E26B3A33A91842C3AA4B668,30.198056,120.248663
6A80D92C6E26B3A33A91842C3AA4B668,30.25661,120.12591
6A80D92C6E26B3A33A91842C3AA4B668,30.265792,120.1304345
6A80D92C6E26B3A33A91842C3AA4B668,30.268025,120.14248
6A80D92C6E26B3A33A91842C3AA4B668,30.263608,120.14896
6A80D92C6E26B3A33A91842C3AA4B668,30.26336,120.15369
6A80D92C6E26B3A33A91842C3AA4B668,30.27332,120.1515
6A80D92C6E26B3A33A91842C3AA4B668,30.27065,120.15704
6A80D92C6E26B3A33A91842C3AA4B668,30.2731,120.16908
6A80D92C6E26B3A33A91842C3AA4B668,30.2723,120.17658
6A80D92C6E26B3A33A91842C3AA4B668,30.2711,120.18203
6A80D92C6E26B3A33A91842C3AA4B668,30.26624,120.18347
6A80D92C6E26B3A33A91842C3AA4B668,30.25127,120.18051
6A80D92C6E26B3A33A91842C3AA4B668,30.24556,120.19305
6A80D92C6E26B3A33A91842C3AA4B668,30.22553,120.21841
6A80D92C6E26B3A33A91842C3AA4B668,30.21854,120.21131
6A80D92C6E26B3A33A91842C3AA4B668,30.21312,120.208115
6A80D92C6E26B3A33A91842C3AA4B668,30.21063,120.19899
6A80D92C6E26B3A33A91842C3AA4B668,30.20802,120.19301
6A80D92C6E26B3A33A91842C3AA4B668,30.21154,120.19726
6A80D92C6E26B3A33A91842C3AA4B668,30.210656,120.190696
6A80D92C6E26B3A33A91842C3AA4B668,30.20907,120.18597
6A80D92C6E26B3A33A91842C3AA4B668,30.20071,120.17216
6A80D92C6E26B3A33A91842C3AA4B668,30.19791,120.16645
6A80D92C6E26B3A33A91842C3AA4B668,30.194237,120.162001
6A80D92C6E26B3A33A91842C3AA4B668,30.17392,120.16564
6A80D92C6E26B3A33A91842C3AA4B668,30.18099,120.17537
6A80D92C6E26B3A33A91842C3AA4B668,30.174942,120.179871
6A80D92C6E26B3A33A91842C3AA4B668,30.17932,120.18425
6A80D92C6E26B3A33A91842C3AA4B668,30.17485,120.1893
6A80D92C6E26B3A33A91842C3AA4B668,30.177602,120.1938725
6A80D92C6E26B3A33A91842C3AA4B668,30.174782,120.216551
6A80D92C6E26B3A33A91842C3AA4B668,30.18114,120.22157
6A80D92C6E26B3A33A91842C3AA4B668,30.179675,120.215425
6A80D92C6E26B3A33A91842C3AA4B668,30.16909,120.23758
6A80D92C6E26B3A33A91842C3AA4B668,30.17674,120.24065
6A80D92C6E26B3A33A91842C3AA4B668,30.17071,120.24823
6A80D92C6E26B3A33A91842C3AA4B668,30.167593,120.254885
6A80D92C6E26B3A33A91842C3AA4B668,30.16819,120.26321
6A80D92C6E26B3A33A91842C3AA4B668,30.18458,120.25714
6A80D92C6E26B3A33A91842C3AA4B668,30.19736,120.25979
6A80D92C6E26B3A33A91842C3AA4B668,30.20588,120.26429
6A80D92C6E26B3A33A91842C3AA4B668,30.2196,120.264
6A80D92C6E26B3A33A91842C3AA4B668,30.23685,120.28623
6A80D92C6E26B3A33A91842C3AA4B668,30.25394,120.27054
6A80D92C6E26B3A33A91842C3AA4B668,30.26135,120.29707
6A80D92C6E26B3A33A91842C3AA4B668,30.27918,120.29871
6A80D92C6E26B3A33A91842C3AA4B668,30.28693,120.28475
6A80D92C6E26B3A33A91842C3AA4B668,30.273881,120.283281
6A80D92C6E26B3A33A91842C3AA4B668,30.24873,120.29128
6A80D92C6E26B3A33A91842C3AA4B668,30.23685,120.28623
6A80D92C6E26B3A33A91842C3AA4B668,30.225785,120.272166
6A80D92C6E26B3A33A91842C3AA4B668,30.219637,120.229861
6A80D92C6E26B3A33A91842C3AA4B668,30.226332,120.218004
6A80D92C6E26B3A33A91842C3AA4B668,30.233432,120.208147
6A80D92C6E26B3A33A91842C3AA4B668,30.235511,120.200555
6A80D92C6E26B3A33A91842C3AA4B668,30.242134,120.194388
6A80D92C6E26B3A33A91842C3AA4B668,30.234955,120.189844
6A80D92C6E26B3A33A91842C3AA4B668,30.2343955,120.1849055
6A80D92C6E26B3A33A91842C3AA4B668,30.2326,120.17845
6A80D92C6E26B3A33A91842C3AA4B668,30.21864,120.1704
6A80D92C6E26B3A33A91842C3AA4B668,30.21608,120.16595
6A80D92C6E26B3A33A91842C3AA4B668,30.2294375,120.1679175
6A80D92C6E26B3A33A91842C3AA4B668,30.238001,120.1666
6A80D92C6E26B3A33A91842C3AA4B668,30.25278,120.16769
6A80D92C6E26B3A33A91842C3AA4B668,30.25315,120.16079
6A80D92C6E26B3A33A91842C3AA4B668,30.241913,120.153525
6A80D92C6E26B3A33A91842C3AA4B668,30.23331,120.15633
6A80D92C6E26B3A33A91842C3AA4B668,30.23241,120.15171
6A80D92C6E26B3A33A91842C3AA4B668,30.23224,120.1447903
6A80D92C6E26B3A33A91842C3AA4B668,30.22964,120.13705
6A80D92C6E26B3A33A91842C3AA4B668,30.23212,120.145751
6A80D92C6E26B3A33A91842C3AA4B668,30.23183,120.15082
6A80D92C6E26B3A33A91842C3AA4B668,30.237824,120.1525967
6A80D92C6E26B3A33A91842C3AA4B668,30.2441765,120.1536675
6A80D92C6E26B3A33A91842C3AA4B668,30.24874,120.158813
6A80D92C6E26B3A33A91842C3AA4B668,30.262698,120.157761
6A80D92C6E26B3A33A91842C3AA4B668,30.26594,120.15981
6A80D92C6E26B3A33A91842C3AA4B668,30.26694,120.16906
6A80D92C6E26B3A33A91842C3AA4B668,30.266937,120.179189
6A80D92C6E26B3A33A91842C3AA4B668,30.26009,120.18407
6A80D92C6E26B3A33A91842C3AA4B668,30.25127,120.18051
6A80D92C6E26B3A33A91842C3AA4B668,30.24823,120.17603
6A80D92C6E26B3A33A91842C3AA4B668,30.24789,120.18791
6A80D92C6E26B3A33A91842C3AA4B668,30.24556,120.19305
6A80D92C6E26B3A33A91842C3AA4B668,30.23551,120.202755
6A80D92C6E26B3A33A91842C3AA4B668,30.226332,120.218004
6A80D92C6E26B3A33A91842C3AA4B668,30.2164295,120.2384915
6A80D92C6E26B3A33A91842C3AA4B668,30.221868,120.248047
6A80D92C6E26B3A33A91842C3AA4B668,30.225785,120.272166
6A80D92C6E26B3A33A91842C3AA4B668,30.2249,120.299
6A80D92C6E26B3A33A91842C3AA4B668,30.220601,120.306224
6A80D92C6E26B3A33A91842C3AA4B668,30.213787,120.350996
6A80D92C6E26B3A33A91842C3AA4B668,30.2146115,120.3724055
